attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
12648,24323915,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58802,80,ips,signature,-
12475,24323923,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58820,80,ips,signature,/drupal/sites/default/files/styles/cgi-bin/
13900,24323944,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58862,80,ips,signature,/drupal/sites/default/files/styles/phpinfo.php
12648,24323961,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58896,80,ips,signature,/phpmyadmin/themes/original/jquery/images/.htpasswd
12648,24323961,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58896,80,ips,signature,-
12475,24323969,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58912,80,ips,signature,/phpmyadmin/themes/original/jquery/images/cgi-bin/
13900,24323990,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58956,80,ips,signature,/phpmyadmin/themes/original/jquery/images/phpinfo.php
12648,24324006,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58988,80,ips,signature,/drupal/modules/field/modules/list/tests/.htpasswd
12648,24324006,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58988,80,ips,signature,-
12475,24324014,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59004,80,ips,signature,/drupal/modules/field/modules/list/tests/cgi-bin/
13900,24324035,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59052,80,ips,signature,/drupal/modules/field/modules/list/tests/phpinfo.php
12648,24324052,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59086,80,ips,signature,/drupal/sites/default/files/field/image/.htpasswd
12648,24324052,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59086,80,ips,signature,-
12475,24324060,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59106,80,ips,signature,/drupal/sites/default/files/field/image/cgi-bin/
13900,24324081,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59150,80,ips,signature,/drupal/sites/default/files/field/image/phpinfo.php
