attackid,nataque,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,sessionid,url
12015,111,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,/certsrv/..%c0%af../winnt/system32/cmd.exe?/c+dir
50825,111,high,Apache.HTTP.Server.cgi-bin.Path.Traversal,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,/cgi-bin/..%c0%af../..%c0%af../winnt/system32/cmd.exe?/c+dir
43336,111,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,
24975,111,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,/.%252e/.%252e/.%252e/winnt/boot.ini
44780,111,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,
12015,111,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,
50825,111,high,Apache.HTTP.Server.cgi-bin.Path.Traversal,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,
43336,111,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,51082,80,ips,signature,7284,
12015,112,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,/scripts/..%255c..%255cwinnt/system32/cmd.exe?/c+ver
44780,112,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,/server-info
50825,112,high,Apache.HTTP.Server.cgi-bin.Path.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1
24975,112,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,/..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5Cboot.ini
