attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
12525,9320739,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2913,0,ips,signature
12525,9320741,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2915,0,ips,signature
12525,9320743,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2917,0,ips,signature
12525,9320745,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2919,0,ips,signature
12525,9320747,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2921,0,ips,signature
12525,9320749,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2923,0,ips,signature
12525,9320751,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2925,0,ips,signature
12525,9320753,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2927,0,ips,signature
12525,9320755,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2929,0,ips,signature
12525,9320757,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2931,0,ips,signature
12525,9320759,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2933,0,ips,signature
12525,9320761,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2935,0,ips,signature
12525,9320763,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2937,0,ips,signature
12525,9320765,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2939,0,ips,signature
12525,9320767,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2941,0,ips,signature
12525,9320769,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2943,0,ips,signature
12525,9320771,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2945,0,ips,signature
12525,9320773,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2947,0,ips,signature
12525,9320775,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2949,0,ips,signature
12525,9320777,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2951,0,ips,signature
12525,9320710,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2884,0,ips,signature
12525,9320712,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2886,0,ips,signature
12525,9320714,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2888,0,ips,signature
12525,9320716,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2890,0,ips,signature
12525,9320779,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2953,0,ips,signature
12525,9320718,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2892,0,ips,signature
12525,9320720,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2894,0,ips,signature
12525,9320722,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2896,0,ips,signature
12525,9320724,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2898,0,ips,signature
12525,9320726,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2900,0,ips,signature
12525,9320728,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2902,0,ips,signature
12525,9320730,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2904,0,ips,signature
12525,9320732,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2906,0,ips,signature
12525,9320781,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2955,0,ips,signature
12525,9320734,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2908,0,ips,signature
12525,9320736,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2910,0,ips,signature
12525,9320738,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2912,0,ips,signature
12525,9320740,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2914,0,ips,signature
12525,9320742,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2916,0,ips,signature
12525,9320744,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2918,0,ips,signature
12525,9320746,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2920,0,ips,signature
12525,9320748,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2922,0,ips,signature
12525,9320783,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2957,0,ips,signature
12525,9320750,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2924,0,ips,signature
12525,9320752,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2926,0,ips,signature
12525,9320754,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2928,0,ips,signature
12525,9320756,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2930,0,ips,signature
12525,9320758,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2932,0,ips,signature
12525,9320760,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2934,0,ips,signature
12525,9320762,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2936,0,ips,signature
12525,9320764,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2938,0,ips,signature
12525,9320766,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2940,0,ips,signature
12525,9320785,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2959,0,ips,signature
12525,9320768,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2942,0,ips,signature
12525,9320770,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2944,0,ips,signature
12525,9320772,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2946,0,ips,signature
12525,9320774,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2948,0,ips,signature
12525,9320776,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2950,0,ips,signature
