2024-07-05T12:16:59.292353+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618751841113 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16250 srcip=0.0.0.0 dstip=255.255.255.255 dstcountry="Reserved" srcport=68 dstport=67 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DHCP" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311618 applist="sniffer-profile" action="pass" appcat="Network.Service" app="BOOTP" incidentserialno=226718804 msg="Network.Service: BOOTP" apprisk="elevated"
2024-07-05T12:16:59.292749+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771451026 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=62869 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311636 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718829 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292765+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771515803 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=49420 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311637 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718830 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292782+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771595789 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=49645 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311638 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718831 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292797+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771694921 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=59724 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311639 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718832 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292811+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771786993 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=56850 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311640 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718833 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292825+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771878311 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=57946 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311641 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718834 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292836+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771957728 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=62827 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311642 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718835 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292850+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618772035444 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=62266 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311643 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718836 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292864+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618772118208 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=51507 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311644 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718837 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292879+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618772199816 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=63749 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311645 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718838 msg="Network.Service: DNS" apprisk="elevated"
