PCAP,ATTACKID,TP
T1190-Sql_inyection2_[2].pcapng,91528,1
T1190-Sql_inyection2_[2].pcapng,94307,1
T1190-Sql_injection-C2018_[6].pcapng,14984,1
T1190-Sql_injection-C2018_[6].pcapng,33338,1
T1190-Sql_injection-C2018_[6].pcapng,35823,1
T1190-Sql_injection-C2018_[6].pcapng,30514,1
T1190-Sql_injection-C2018_[6].pcapng,58005,1
T1190-Sql_injection-C2018_[6].pcapng,9999,1
T1203-C2018_[6].pcapng,53310,1
T1203-C2018_[6].pcapng,14984,0
T1203-C2018_[6].pcapng,94328,1
T1205.001-Port_Knocking_[3].pcapng,31914,1
T1207-Rogue_domain_controller_[4].pcapng,92322,1
T1207-Rogue_domain_controller_[4].pcapng,54410,1
T1210-Eternal_blue_[2].pcapng,31696,1
T1210-Eternal_blue_[2].pcapng,90807,1
T1210-Eternal_blue_[2].pcapng,31710,1
T1210-Eternal_blue_[2].pcapng,86360,1
T1210-Web_attack-C2018_[6].pcapng,9999,1
T1210-Remote_code_execution_[2].pcapng,37700,1
T1210-Remote_code_execution_[2].pcapng,38390,1
T1210-Remote_code_execution_[2].pcapng,9999,1
T1210-Remote_code_execution_[2].pcapng,86533,1
T1213-SQL_inyection_[3].pcapng,9999,1
T1218.010-COM_Scriptlet_[2].pcapng,9999,1
T1219-RemoteAccessSoftwareNAT_[5].pcapng,93031,1
T1219-RemoteAccessSoftwareNAT_[5].pcapng,9999,1
T1219-RemoteAccessSoftwareNAT_[5].pcapng,14984,1
T1219-RemoteAccessSoftwareNAT_[5].pcapng,14978,1
T1221-Template_Injection_[5].pcapng,9999,1
T1221-Template_Injection_[5].pcapng,30520,1
T1482-Domain_trust_discovery_[4].pcapng,92322,1
T1496-Cryptomining_[2].pcapng,9999,1
T1496-Cryptomining_[2].pcapng,632447088,1
T1498.001-HTTP_flood-C2018_[6].pcapng,9999,1
T1498.001-TCP_flood-C2018_[6].pcapng,9999,1
T1498.001-TCP_flood-C2018_[6].pcapng,14984,1
T1498.001-TCP_flood-C2018_[6].pcapng,34767,1
T1498-Amplif_dns_[1].pcapng,18870,1
T1498-Fraggle_[1].pcapng,56497,1
T1499.001-OS_Exhaustion_Flood_[3].pcapng,54547,1
T1499.001-OS_Exhaustion_Flood_[3].pcapng,40094,1
T1499-Reseteo_[1].pcapng,31914,1
T1499.02-Slowloris-C2018_[6].pcapng,9999,1
T1499.03-Hulk-C2018_[6].pcapng,9999,1
T1499.03-Hulk-C2018_[6].pcapng,14984,1
T1499.03-GoldenEye-C2018_[6].pcapng,9999,1
T1499.03-GoldenEye-C2018_[6].pcapng,14984,1
T1505.001-SQL_inyection_[3].pcapng,35826,1
T1505.005-Shell_Web_[2].pcapng,9999,1
T1505.005-Shell_Web_[2].pcapng,58463,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,93031,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,9999,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,14978,1
T1542.005-TFTP_Boot_[5].pcapng,9999,1
T1542.005-TFTP_Boot_[5].pcapng,31914,1
T1566.001-C2018_[6].pcapng,32296,1
T1566.001-C2018_[6].pcapng,54790,1
T1566.002-Spearphishing_Link_[5].pcapng,86533,1
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,93031,1
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,9999,1
T1568-fastFluxDNS_[5].pcapng,9999,1
T1569-System_services_service_execution_[4].pcapng,92322,1
T1569-System_services_service_execution_[4].pcapng,36540,1
T1571-SSH_[2].pcapng,31914,1
T1572-Protocol_Tunneling_[5].pcapng,31914,1
T1584.005-C2018_[6].pcapng,9999,1
T1584.005-C2018_[6].pcapng,14984,1
T1584.005-C2018_[6].pcapng,14978,1
T1585.001-Establish_social_accounts_[4].pcapng,93031,1
T1585.001-Establish_social_accounts_[4].pcapng,9999,1
T1586.001-Compromise_Accounts_[2].pcapng,9999,1
T1595.002-Port_Scanning_[3].pcapng,35364,1
T1595.002-Port_Scanning_[3].pcapng,9999,1
T1595.002-Port_Scanning_[3].pcapng,30520,1
